#COPIER ID MEAN MIN MAX
C244 244 1.00 0 2
C245 245 0.33 0 1
C246 246 0.33 0 1
C247 247 1.33 1 2
C248 248 0.33 0 1
C249 249 2.33 0 5
C250 250 0.67 0 1
C251 251 1.00 0 2
C252 252 1.00 0 3
C253 253 0.67 0 2
C254 254 0.67 0 2
C255 255 0.67 0 1
C256 256 1.00 0 2
C257 257 0.67 0 2
C258 258 0.33 0 1
C259 259 0.33 0 1
C260 260 2.00 1 3
C261 261 1.00 0 2
C262 262 1.67 1 3
C263 263 0.33 0 1
C264 264 0.67 0 1
C265 265 0.33 0 1
C266 266 0.67 0 2
C267 267 1.00 0 2
C268 268 0.67 0 2
C269 269 1.33 1 2
C270 270 1.67 0 3
C271 271 1.33 0 3
C272 272 0.67 0 1
C273 273 1.33 1 2
C274 274 1.33 0 3
C275 275 1.67 0 3
C276 276 1.67 0 3
C277 277 1.67 1 2
C278 278 1.33 1 2
C279 279 0.33 0 1
C280 280 1.33 0 2
C281 281 0.67 0 1
C282 282 0.67 0 2
C283 283 0.67 0 1
C284 284 1.67 1 2
C285 285 0.00 0 0
C286 286 1.00 0 2
C287 287 0.67 0 1
C288 288 1.67 1 2
C289 289 1.33 1 2
C290 290 0.67 0 1
C291 291 0.33 0 1
C292 292 1.33 1 2
C293 293 1.33 0 3
C294 294 0.00 0 0
C295 295 0.67 0 2
C296 296 1.00 0 2
C297 297 1.00 0 3
C298 298 0.67 0 2
C299 299 1.00 0 2
C300 300 2.00 1 3
C301 301 1.33 1 2
C302 302 0.33 0 1
C303 303 0.67 0 1
C304 304 1.33 0 3
C305 305 0.67 0 2
C306 306 1.67 1 2
C307 307 0.67 0 1
C308 308 1.33 0 2
C309 309 1.33 1 2
C310 310 0.67 0 2
C311 311 0.00 0 0
C312 312 0.67 0 1
C313 313 0.33 0 1
C314 314 1.00 0 2
C315 315 0.67 0 1
C316 316 0.67 0 1
C317 317 1.00 0 2
C318 318 0.67 0 1
C319 319 0.33 0 1
C320 320 1.00 1 1
C321 321 0.67 0 2
C322 322 1.00 1 1
C323 323 1.00 0 2
C324 324 1.67 0 3
C325 325 0.67 0 2
C326 326 0.67 0 1
C327 327 1.33 0 3
C328 328 0.67 0 2
C329 329 1.67 1 2
C330 330 0.33 0 1
C331 331 0.67 0 1
C332 332 0.67 0 1
C333 333 1.33 1 2
C334 334 0.67 0 1
C335 335 0.67 0 1
C336 336 1.00 0 2
C337 337 0.67 0 1
C338 338 1.00 0 2
C339 339 0.67 0 1
C340 340 1.00 1 1
C341 341 1.00 0 3
C342 342 2.00 2 2
C343 343 0.67 0 1
C344 344 1.00 0 2
C345 345 1.00 1 1
C346 346 0.33 0 1
C347 347 1.67 0 4
C348 348 0.67 0 2
C349 349 1.67 1 3
C350 350 2.00 1 3
C351 351 0.33 0 1
C352 352 1.67 1 3
C353 353 1.67 0 4
C354 354 0.67 0 1
C355 355 1.67 1 2
C356 356 1.33 0 3
C357 357 0.67 0 2
C358 358 1.00 0 2
C359 359 1.00 0 2
C360 360 0.67 0 1
C361 361 1.67 0 3
C362 362 1.00 0 3
C363 363 1.00 1 1
C364 364 1.00 1 1
C365 365 1.67 1 3
C366 366 1.33 0 2
C367 367 0.00 0 0
C368 368 1.33 1 2
C369 369 0.67 0 2
C370 370 0.67 0 1
C371 371 1.00 0 2
C372 372 1.33 0 3
C373 373 0.33 0 1
C374 374 0.67 0 2
C375 375 0.67 0 1
C376 376 1.33 0 2
C377 377 1.00 0 2
C378 378 0.67 0 1
C379 379 2.00 1 3
C380 380 0.00 0 0
C381 381 1.67 1 2
C382 382 1.00 0 2
C383 383 1.33 0 2
C384 384 0.00 0 0
C385 385 1.67 1 2
C386 386 1.00 0 3
C387 387 1.00 1 1
C388 388 0.67 0 1
C389 389 2.00 1 3
C390 390 0.33 0 1
C391 391 0.33 0 1
C392 392 1.00 0 2
C393 393 0.33 0 1
C394 394 0.67 0 2
C395 395 0.67 0 1
C396 396 1.00 0 3
C397 397 1.33 0 3
C398 398 0.67 0 1
C399 399 0.67 0 1
C400 400 0.33 0 1
C401 401 2.00 1 4
C402 402 1.33 0 3
C403 403 1.67 1 3
C404 404 0.33 0 1
C405 405 0.67 0 1
C406 406 0.67 0 1
C407 407 1.33 0 4
C408 408 2.67 1 4
C409 409 0.67 0 1
C410 410 1.00 1 1
C411 411 0.67 0 1
C412 412 0.67 0 2
C413 413 0.33 0 1
C414 414 2.00 1 3
C415 415 1.00 1 1
C416 416 1.00 0 2
C417 417 2.00 1 3
C418 418 1.67 1 3
C419 419 1.67 1 2
C420 420 0.67 0 1
C421 421 0.67 0 1
C422 422 0.67 0 1
C423 423 0.67 0 2
C424 424 0.00 0 0
C425 425 0.67 0 1
C426 426 1.33 0 2
C427 427 0.67 0 1
C428 428 0.00 0 0
C429 429 0.00 0 0
C430 430 0.67 0 1
C431 431 0.67 0 1
C432 432 1.00 1 1
C433 433 1.00 0 2
C434 434 0.67 0 1
C435 435 1.00 1 1
C436 436 1.00 0 2
C437 437 0.67 0 1
C438 438 0.00 0 0
C439 439 1.00 0 2
C440 440 1.67 0 3
C441 441 0.00 0 0
C442 442 1.00 0 2
C443 443 1.33 0 3
C444 444 0.00 0 0
C445 445 2.33 2 3
C446 446 1.00 0 2
C447 447 1.00 0 3
C448 448 1.00 1 1
C449 449 0.33 0 1
C450 450 1.67 0 4
C451 451 1.67 1 2
C452 452 1.00 0 2
C453 453 1.00 0 2
C454 454 1.33 0 2
C455 455 1.00 0 3
C456 456 2.33 1 3
C457 457 2.00 0 3
C458 458 1.00 0 2
C459 459 0.67 0 1
C460 460 0.33 0 1
C461 461 1.67 1 2
C462 462 0.33 0 1
C463 463 0.00 0 0
C464 464 1.00 0 3
C465 465 0.67 0 1
C466 466 1.00 1 1
C467 467 1.33 0 3
C468 468 0.67 0 1
C469 469 0.00 0 0
C470 470 1.67 1 2
C471 471 0.33 0 1
C472 472 1.00 0 2
C473 473 0.33 0 1
C474 474 2.00 2 2
C475 475 1.00 0 2
C476 476 1.33 1 2
C477 477 2.00 0 5
C478 478 1.00 0 3
C479 479 1.67 0 4
C480 480 1.67 1 2
C481 481 1.33 0 3
C482 482 2.00 2 2
C483 483 0.00 0 0
C484 484 0.67 0 1
C485 485 1.67 0 4
C486 486 1.00 0 3
C487 487 0.00 0 0
C488 488 1.67 0 4
C489 489 0.67 0 1
C490 490 0.33 0 1
C491 491 1.00 0 2
C492 492 0.00 0 0
C493 493 1.00 0 2
C494 494 1.33 0 2
C495 495 0.33 0 1
C496 496 0.33 0 1
C497 497 1.33 0 3
C498 498 1.33 1 2
C499 499 0.67 0 1
C500 500 1.33 0 2
C501 501 1.67 1 2
C502 502 1.00 0 2
C503 503 0.67 0 1
C504 504 0.67 0 1
C505 505 0.00 0 0
C506 506 1.00 0 2
C507 507 2.00 1 3
C508 508 0.33 0 1
C509 509 1.00 0 2
C510 510 0.33 0 1
C511 511 0.67 0 1
C512 512 0.67 0 1
C513 513 0.00 0 0
C514 514 1.00 1 1
C515 515 0.00 0 0
C516 516 1.67 1 2
C517 517 1.00 0 3
C518 518 1.33 0 3
C519 519 1.33 0 3
C520 520 0.00 0 0
C521 521 0.33 0 1
C522 522 1.00 0 2
C523 523 0.67 0 1
C524 524 0.33 0 1
C525 525 1.67 1 2
C526 526 1.00 1 1
C527 527 0.67 0 1
C528 528 0.33 0 1
C529 529 0.00 0 0
C530 530 0.67 0 2
C531 531 0.67 0 1
C532 532 1.00 1 1
C533 533 1.00 0 2
C534 534 1.33 1 2
C535 535 1.00 1 1
C536 536 1.00 1 1
C537 537 0.33 0 1
C538 538 1.00 0 2
C539 539 1.00 0 2
C540 540 0.00 0 0
C541 541 1.33 0 3
C542 542 0.67 0 1
C543 543 2.33 2 3
