#COPIER ID MEAN MIN MAX
C0 0 629.53 617.43 639.54
C1 1 630.84 619.55 643.30
C2 2 628.78 616.56 641.80
C3 3 630.86 620.39 640.47
C4 4 630.98 621.47 641.36
C5 5 632.13 621.87 642.76
C6 6 629.70 619.28 639.38
C7 7 631.35 621.20 641.37
C8 8 631.67 621.38 643.66
C9 9 630.28 621.23 641.01
C10 10 631.64 622.12 643.03
C11 11 630.61 620.13 643.74
C12 12 631.77 622.48 642.78
C13 13 632.10 622.26 643.56
C14 14 630.95 621.32 643.70
C15 15 631.99 622.27 643.59
C16 16 631.33 620.37 641.87
C17 17 632.17 622.13 642.79
C18 18 631.95 622.59 642.89
C19 19 631.97 622.64 643.83
C20 20 632.37 622.45 643.06
C21 21 632.04 620.68 643.36
C22 22 631.15 620.07 643.42
C23 23 631.58 622.61 643.70
C24 24 631.39 622.05 640.41
C25 25 630.69 620.77 639.56
C26 26 632.38 622.06 643.29
C27 27 631.66 620.52 643.42
C28 28 632.28 622.28 643.68
C29 29 631.50 621.82 640.94
C30 30 631.81 620.97 643.61
C31 31 632.63 622.46 643.69
C32 32 632.19 621.47 643.68
C33 33 631.22 622.00 643.78
C34 34 632.21 621.33 643.62
C35 35 632.48 622.25 643.43
C36 36 630.27 620.04 640.95
C37 37 631.94 620.42 643.62
C38 38 631.01 622.64 640.02
C39 39 630.34 620.68 641.73
C40 40 631.74 622.56 643.67
C41 41 632.39 622.56 643.17
C42 42 631.50 620.57 643.13
C43 43 631.94 622.03 641.57
C44 44 632.30 622.45 642.81
C45 45 630.21 622.64 637.27
C46 46 630.85 617.66 643.24
C47 47 632.40 622.40 643.21
C48 48 630.14 618.33 640.35
C49 49 631.23 619.64 643.43
C50 50 632.48 622.06 643.31
C51 51 632.74 622.45 643.70
C52 52 631.31 620.87 641.46
C53 53 631.42 622.21 639.96
C54 54 632.17 620.91 643.52
C55 55 632.47 622.57 643.50
C56 56 631.90 622.06 641.95
C57 57 630.29 617.53 642.64
C58 58 630.55 619.74 643.73
C59 59 630.34 618.35 641.03
C60 60 632.05 622.09 643.69
C61 61 631.91 622.03 643.18
C62 62 631.85 621.88 641.93
C63 63 631.88 621.54 642.36
C64 64 630.71 621.75 640.39
C65 65 631.77 622.05 641.38
C66 66 631.25 621.06 640.50
C67 67 632.26 622.02 643.66
C68 68 631.66 621.85 640.97
C69 69 631.98 620.80 643.53
C70 70 632.06 621.38 643.63
C71 71 631.85 622.05 643.67
C72 72 631.35 622.15 641.76
C73 73 631.71 621.27 641.85
C74 74 631.15 618.58 643.45
C75 75 632.05 622.05 643.60
C76 76 632.03 621.46 642.90
C77 77 631.72 622.24 643.04
C78 78 631.07 620.81 641.67
C79 79 631.88 622.08 642.57
C80 80 632.35 621.22 643.73
C81 81 631.46 622.05 642.40
C82 82 631.88 622.59 641.47
C83 83 632.16 622.17 642.76
C84 84 630.33 620.02 640.69
C85 85 630.99 620.75 642.38
C86 86 632.11 621.80 643.56
C87 87 631.66 620.76 642.29
C88 88 631.05 619.85 641.66
C89 89 631.82 621.27 643.68
C90 90 630.92 620.30 643.65
C91 91 632.44 622.05 643.71
C92 92 632.26 621.82 643.71
C93 93 631.73 620.27 643.66
C94 94 631.46 620.56 643.65
C95 95 631.61 622.12 643.55
C96 96 631.63 620.81 643.67
C97 97 631.93 622.54 642.10
C98 98 631.96 622.08 643.19
C99 99 631.49 622.24 643.55
C100 100 632.24 622.23 642.77
C101 101 631.68 621.99 641.47
C102 102 632.24 622.28 643.64
C103 103 631.49 621.54 642.98
C104 104 631.19 621.02 643.20
C105 105 632.15 622.36 642.85
C106 106 631.26 620.84 641.26
C107 107 631.75 621.14 642.38
C108 108 632.04 622.05 642.34
C109 109 632.36 622.24 643.77
C110 110 631.50 620.28 643.69
C111 111 631.92 619.82 643.84
C112 112 631.57 620.72 643.69
C113 113 630.76 620.17 641.87
C114 114 631.86 620.72 643.59
C115 115 630.50 620.52 642.73
C116 116 631.55 620.01 643.40
C117 117 631.58 621.08 643.67
C118 118 629.55 620.80 640.16
C119 119 632.17 622.57 643.89
C120 120 632.05 620.69 643.73
C121 121 631.07 620.42 642.09
C122 122 632.02 622.28 643.38
C123 123 631.32 622.47 641.59
C124 124 631.42 622.62 643.50
C125 125 632.39 621.46 643.62
