#COPIER ID MEAN MIN MAX
C00 0 73.31 70.40 75.99
C01 1 73.22 70.24 75.99
C02 2 73.11 70.04 75.97
C03 3 73.29 70.33 75.97
C04 4 73.10 69.87 76.04
C05 5 73.15 70.41 75.46
C06 6 73.20 70.45 75.92
C07 7 73.12 69.97 76.16
C08 8 73.12 70.07 75.80
C09 9 73.21 70.35 76.04
C10 10 72.98 70.24 75.39
C11 11 73.26 70.16 76.23
C12 12 73.26 70.16 76.31
C13 13 73.37 70.55 76.18
C14 14 73.36 70.46 75.87
C15 15 73.18 70.07 76.09
C16 16 72.96 70.57 75.28
C17 17 73.30 70.46 76.04
C18 18 73.24 70.26 76.19
C19 19 73.38 70.97 75.82
C20 20 73.30 70.23 76.04
C21 21 73.29 70.46 75.99
C22 22 73.21 70.29 76.09
C23 23 73.01 69.97 76.14
C24 24 73.34 70.13 76.21
C25 25 73.30 70.40 76.14
C26 26 73.07 69.97 76.04
C27 27 73.05 70.01 75.87
C28 28 73.17 70.13 76.13
C29 29 73.29 70.31 76.16
C30 30 73.24 70.18 75.96
C31 31 73.15 70.21 75.92
C32 32 73.20 70.23 75.97
C33 33 73.27 70.29 75.92
C34 34 73.13 70.06 75.97
C35 35 73.32 70.55 75.96
C36 36 73.24 70.13 76.02
C37 37 73.37 70.40 76.25
C38 38 73.20 70.35 76.28
C39 39 73.30 70.46 76.28
C40 40 73.19 69.99 75.89
C41 41 73.16 69.97 76.11
C42 42 73.16 69.96 76.02
C43 43 73.12 70.02 76.09
C44 44 73.16 70.23 75.84
C45 45 73.08 70.02 75.84
C46 46 73.23 70.29 76.18
C47 47 73.18 70.04 76.28
C48 48 73.22 70.19 76.06
C49 49 73.20 69.94 76.14
C50 50 73.09 70.07 75.99
C51 51 73.18 70.41 76.01
C52 52 73.12 70.19 75.89
C53 53 73.35 70.19 76.25
C54 54 73.24 70.04 76.26
C55 55 73.17 69.96 76.11
C56 56 73.11 70.02 76.01
C57 57 73.30 70.38 76.14
C58 58 73.17 70.21 76.02
C59 59 73.29 70.46 75.97
C60 60 73.23 69.99 76.16
C61 61 73.34 70.46 76.09
C62 62 73.34 70.24 76.30
C63 63 73.36 70.48 75.92
C64 64 73.13 70.41 75.41
C65 65 73.28 70.41 75.97
C66 66 73.07 70.19 75.90
C67 67 72.99 70.18 75.65
C68 68 73.28 70.35 76.18
C69 69 73.21 69.94 76.31
C70 70 73.11 69.75 76.19
C71 71 73.39 70.57 76.18
C72 72 73.11 69.99 76.07
C73 73 73.18 70.09 76.04
C74 74 73.21 70.35 76.06
C75 75 72.96 69.90 76.16
C76 76 73.24 70.18 76.13
C77 77 72.99 70.35 75.21
C78 78 73.27 70.14 76.25
C79 79 73.15 69.87 76.16
C80 80 72.98 69.87 75.92
C81 81 73.33 70.31 76.36
C82 82 73.07 69.85 76.18
C83 83 73.21 70.21 76.14
C84 84 73.25 70.21 76.23
C85 85 73.20 69.97 76.04
C86 86 73.18 70.19 76.01
C87 87 73.00 70.11 75.65
C88 88 73.14 70.07 75.90
C89 89 73.15 70.38 75.70
C90 90 73.24 70.18 76.01
C91 91 73.15 69.96 76.11
C92 92 73.29 70.28 76.13
C93 93 73.17 70.06 75.92
C94 94 73.28 70.31 76.07
C95 95 73.03 70.16 75.72
C96 96 73.27 70.09 76.28
C97 97 73.25 70.31 75.96
C98 98 73.13 70.07 75.90
C99 99 73.07 70.13 75.94
C100 100 73.14 70.07 76.02
C101 101 73.25 70.28 76.07
C102 102 73.10 70.19 75.68
C103 103 73.06 69.84 75.90
C104 104 73.02 70.04 75.84
C105 105 73.04 70.18 75.65
C106 106 73.29 70.28 76.25
C107 107 73.08 69.94 75.96
C108 108 73.26 70.19 76.02
C109 109 73.21 70.24 75.92
C110 110 73.18 70.06 76.18
C111 111 73.13 70.16 76.11
C112 112 73.11 70.06 75.94
C113 113 73.23 70.26 76.04
C114 114 73.11 70.21 75.84
C115 115 73.08 70.41 75.41
C116 116 73.17 70.28 75.89
C117 117 73.11 69.92 76.18
C118 118 73.27 70.31 75.96
C119 119 73.04 69.92 75.89
C120 120 73.17 70.07 76.26
C121 121 73.16 70.02 76.14
C122 122 73.21 70.23 76.18
C123 123 73.12 70.07 76.14
C124 124 73.19 69.85 76.11
C125 125 73.19 70.31 76.01
C126 126 73.25 69.96 76.16
C127 127 73.25 70.29 75.89
C128 128 73.12 70.04 75.89
C129 129 73.18 70.26 76.02
C130 130 73.29 70.29 76.13
C131 131 73.23 70.31 76.09
C132 132 73.18 70.23 76.18
C133 133 73.26 70.28 76.07
C134 134 73.20 70.50 75.92
C135 135 73.25 70.07 76.18
C136 136 73.21 70.14 76.07
C137 137 73.16 70.07 76.04
C138 138 73.25 70.09 76.16
C139 139 73.12 69.99 76.02
C140 140 73.20 70.31 75.97
C141 141 72.99 69.85 76.01
C142 142 73.39 70.24 76.36
C143 143 73.17 70.04 76.14
C144 144 73.24 70.38 75.99
C145 145 73.00 70.28 75.33
C146 146 73.22 70.23 76.01
C147 147 73.21 70.23 76.06
C148 148 73.14 70.16 75.99
C149 149 73.31 70.07 76.21
C150 150 73.10 70.01 75.94
C151 151 73.10 69.96 76.18
C152 152 73.24 70.07 76.11
C153 153 73.01 70.07 75.58
C154 154 73.01 69.87 75.87
C155 155 73.23 70.09 76.36
C156 156 72.95 70.18 75.92
C157 157 73.16 69.80 76.16
C158 158 73.26 70.13 76.07
C159 159 73.34 70.38 76.28
C160 160 73.20 70.23 75.99
C161 161 73.30 70.19 76.18
C162 162 73.33 70.26 76.28
C163 163 72.95 70.19 75.34
C164 164 73.21 69.97 76.07
C165 165 73.18 70.11 75.92
C166 166 73.07 70.01 76.07
C167 167 72.99 70.23 75.77
C168 168 73.10 69.97 75.89
C169 169 73.15 69.89 76.07
C170 170 73.24 70.26 76.18
C171 171 73.20 70.26 75.97
C172 172 73.09 69.87 75.96
C173 173 73.09 70.06 75.85
C174 174 73.09 70.11 75.84
C175 175 73.06 69.85 76.02
C176 176 72.99 69.82 75.84
