#COPIER ID MEAN MIN MAX
C0 0 12.67 11 14
C1 1 13.67 11 19
C2 2 8.67 6 14
C3 3 16.33 13 22
C4 4 18.00 12 23
C5 5 15.00 11 21
C6 6 11.67 10 15
C7 7 11.33 9 15
C8 8 13.67 13 14
C9 9 7.67 7 8
C10 10 14.67 12 17
C11 11 8.00 4 14
C12 12 7.67 5 12
C13 13 9.67 8 12
C14 14 8.67 6 10
C15 15 11.33 7 14
C16 16 9.33 8 11
C17 17 5.67 3 7
C18 18 10.33 6 15
C19 19 13.33 8 20
C20 20 12.00 8 19
C21 21 18.67 16 22
C22 22 14.67 6 21
C23 23 7.67 4 13
C24 24 17.00 10 21
C25 25 8.00 7 9
C26 26 9.00 6 11
C27 27 7.67 1 12
C28 28 6.67 3 10
C29 29 12.67 9 19
C30 30 7.33 4 11
C31 31 12.33 11 13
C32 32 13.00 1 20
C33 33 10.67 2 18
C34 34 12.00 7 16
C35 35 8.67 5 13
C36 36 15.67 5 23
C37 37 4.67 2 10
C38 38 12.00 8 18
C39 39 9.33 5 15
C40 40 12.67 4 19
C41 41 12.33 5 18
C42 42 7.33 5 9
C43 43 11.00 7 16
C44 44 9.00 4 15
C45 45 7.33 5 11
C46 46 7.67 2 14
C47 47 10.67 4 16
C48 48 10.33 9 11
C49 49 8.67 0 20
C50 50 9.67 4 13
C51 51 9.67 1 19
C52 52 8.67 2 14
C53 53 13.00 3 26
C54 54 10.67 8 15
C55 55 8.67 5 13
C56 56 10.00 7 14
C57 57 7.67 0 16
C58 58 9.33 6 11
C59 59 11.67 8 17
C60 60 5.33 1 8
C61 61 8.00 0 14
C62 62 9.33 2 14
C63 63 10.33 4 15
C64 64 8.67 5 15
C65 65 6.67 6 8
C66 66 6.00 1 12
C67 67 7.00 0 11
C68 68 7.67 7 8
C69 69 10.33 5 19
C70 70 11.33 2 21
C71 71 7.67 4 14
C72 72 2.67 1 5
C73 73 19.67 10 30
C74 74 8.33 5 10
C75 75 7.33 3 11
C76 76 11.00 10 12
C77 77 11.00 7 17
C78 78 9.33 2 17
C79 79 9.33 2 13
C80 80 8.33 6 12
C81 81 22.00 13 33
C82 82 7.33 6 8
C83 83 3.33 2 4
C84 84 12.33 8 16
C85 85 6.00 2 11
C86 86 10.33 7 12
C87 87 4.00 1 8
C88 88 13.00 6 20
C89 89 8.00 7 9
C90 90 11.67 6 18
C91 91 5.33 2 9
C92 92 6.67 5 10
C93 93 7.67 4 11
C94 94 8.67 7 12
C95 95 9.67 9 11
C96 96 10.67 5 17
C97 97 10.33 6 15
C98 98 2.67 0 7
C99 99 12.00 6 23
