#COPIER ID MEAN MIN MAX
C00 0 1.00 0 2
C01 1 0.00 0 0
C02 2 1.00 0 2
C03 3 0.33 0 1
C04 4 0.67 0 2
C05 5 1.00 0 2
C06 6 0.67 0 1
C07 7 1.67 0 3
C08 8 3.00 0 7
C09 9 1.00 0 2
C10 10 0.33 0 1
C11 11 0.33 0 1
C12 12 1.00 0 3
C13 13 1.00 1 1
C14 14 1.00 0 2
C15 15 0.67 0 1
C16 16 1.33 1 2
C17 17 1.00 1 1
C18 18 1.33 0 2
C19 19 0.67 0 1
C20 20 1.00 0 2
C21 21 0.33 0 1
C22 22 0.33 0 1
C23 23 1.00 0 2
C24 24 0.33 0 1
C25 25 0.00 0 0
C26 26 2.33 1 4
C27 27 0.00 0 0
C28 28 1.33 0 2
C29 29 1.00 0 2
C30 30 1.33 0 3
C31 31 1.33 0 4
C32 32 0.33 0 1
C33 33 1.33 0 3
C34 34 0.67 0 2
C35 35 0.33 0 1
C36 36 0.00 0 0
C37 37 0.33 0 1
C38 38 0.33 0 1
C39 39 0.33 0 1
C40 40 0.33 0 1
C41 41 0.33 0 1
C42 42 0.67 0 1
C43 43 1.33 0 2
C44 44 1.00 0 2
C45 45 1.00 0 2
C46 46 0.67 0 2
C47 47 0.67 0 1
C48 48 1.00 0 2
C49 49 0.67 0 1
C50 50 1.33 0 2
C51 51 1.33 1 2
C52 52 0.33 0 1
C53 53 1.00 0 2
C54 54 0.33 0 1
C55 55 0.67 0 2
C56 56 1.00 0 2
C57 57 1.00 0 3
C58 58 1.67 0 3
C59 59 1.00 0 2
C60 60 0.67 0 1
C61 61 0.67 0 1
C62 62 1.00 0 3
C63 63 1.00 0 2
C64 64 0.33 0 1
C65 65 0.33 0 1
C66 66 1.33 0 3
C67 67 1.33 0 4
C68 68 0.67 0 1
C69 69 0.67 0 1
C70 70 1.00 0 2
C71 71 0.33 0 1
C72 72 1.00 1 1
C73 73 0.67 0 1
C74 74 0.33 0 1
C75 75 0.00 0 0
C76 76 0.67 0 1
C77 77 1.00 0 2
C78 78 1.00 0 2
C79 79 0.67 0 2
C80 80 1.00 0 2
C81 81 0.67 0 1
C82 82 1.00 0 2
C83 83 1.00 1 1
C84 84 1.00 0 2
C85 85 2.00 1 4
C86 86 1.00 0 2
C87 87 0.67 0 1
C88 88 1.00 0 2
C89 89 0.67 0 1
C90 90 0.33 0 1
C91 91 1.33 0 3
C92 92 0.67 0 1
C93 93 1.67 0 3
C94 94 0.33 0 1
C95 95 2.00 1 3
C96 96 1.33 0 3
C97 97 0.67 0 1
C98 98 0.00 0 0
C99 99 0.67 0 1
C100 100 0.00 0 0
C101 101 1.00 0 2
C102 102 1.00 1 1
C103 103 1.67 0 3
C104 104 1.67 1 3
C105 105 1.33 1 2
C106 106 0.33 0 1
